AUTHOR,NAME,GENRE,PUBLISHER,ISBN,STOCK
Patricia Reilly Giff,Don't Tell the Girls: A Family Memoir,CHILDREN,Holiday House,0823418138 ,2
Patrick Carman,Trackers #1,CHILDREN,Scholastic Inc,0545165008 ,2
Patrick J. Buchanan,State Of Emergency (The Third World invasion Conquest of America),NON-FICTION,St. Martin~s Press,0312360037 ,2
Patrick Jennings,The Bird Shadow: An Ike and Mem Story,CHILDREN,Holiday House,0823416704 ,2
PAUL LEVINE,THE DEEP BLUE ALIBI,NOVELS,Bantam Books,0739464086 ,2
Paul Many,Walk Away Home,CHILDREN,Walker & Co,0802788289 ,2
Peter Straub,Lost Boy Lost Girl,NOVELS,Random House,1400060923 ,2
RACHEL ISADORA,IN THE BEGINNING,CHILDREN,G.P. Putman~s Sons,0399239979 ,2
Ray Rosenbaum,Hawks,NOVELS,Presidio Press,0891414770 ,2
Rhys Bowen ,Royal Flush,NOVELS,Berkley Publishing Group,042522788X ,2
Richard Berleth,Mary Pattens Voyage,CHILDREN,Albert Whitman & Co,0807549878 ,2
Richard Preston,Panic in Level 4: Cannibals Killer Viruses and Other Journeys to the Edge of Science,ACTION,Random House,1400064902 ,2
Richard Whittingham,Sunday's Heroes,SPORTS,Triumph Books,1572435178 ,2
Rick Carpiniello,Messier Steel on Ice,SPORTS,Stoddart+publishing,077373211x ,2
Rob Bowden,What If We Do Nothing? Earth's Water Crisis,CHILDREN,World Almanac,0836877543 ,2
Robert I. Sutton ,The No Asshole Rule: Building a Civilized Workplace and Surviving One That Isn't ,BUSINESS,21st Century Books,0446526568 ,2
Robert James Waller,The Long Night of Winchell Dear,NOVELS,21st Century Books,0307209962 ,2
Robert L. Wise,Crossing The Threshold Of Eternity,INSPIRATIONAL,RegaL Books,0830743707 ,2
Robert Paul,Finding Ever After,INSPIRATIONAL,Bethany House,0764204114 ,2
Robert Sprackland,Animals and Fishes in Aquaterrariums,ANIMALS,TFH Publications,0793801257 ,2
Robert Thornton,L.I.A.R.,HUMOR,Barnes Noble Books,0760765375 ,2
Robin Cook,Intervention,NOVELS,Putnam Pub Group,0399155708 ,2
Robin McGraw,Inside My Heart: Choosing to Live with Passion and Purpose ,INSPIRATIONAL,Tommy Nelson,078521836X ,2
Ron Smith,Who Wore Best by Number with Distinction,SPORTS,21st Century Books,1582098646 ,2
Ronne Randall,Aesop's Fable: The Fox and the Grapes,CHILDREN,Parragon Publishing,1405418931 ,2
Ronne Randall,Aesop's Fables: The Ant and the Grasshopper,CHILDREN,Parragon Publishing,1405418923 ,2
Sam Hamill,The Little Book of Haiku,POETRY,Barnes Noble Books,0760733635 ,2
Sandy Ransford,Dogs (Barron's Pocket Gem),ANIMALS,Barron~s,0812065905 ,2
Sara Gruen,Ape House,NOVELS,21st Century Books,0385523211 ,2
Sarah Addison Allen,The Sugar Queen,NOVELS,Bantam Books,0553805495 ,2
Sarah Phillips,My 2 in 1 Animal Picture Dictionary: A to Z and Habitat Pages,CHILDREN,Make Believe Ideas LTD,1846104653 ,2
Sarah Phillips,My 2 in 1 Picture Dictionary: A to Z Pages,CHILDREN,Make Believe Ideas LTD,1846101328 ,2
Sarah Phillips,My Picture Encyclopedia,CHILDREN,Make Believe Ideas LTD,1846104459 ,2
Shawn Fury,Keeping the Faith,SPORTS,Globe Pequot Press,1592287646 ,2
Sheila Copeland,DIAMOND REVELATION,NOVELS,Kensington Pub Corp,0739490117 ,2
Sheila Keenan,Animals in the House: A History of Pets and People,CHILDREN,21st Century Books,0439692865 ,2
Shelley Fowles,The Bachelor and the Bean,CHILDREN,Farrar Straus & Giroux,0374304785 ,2
Sherrilyn Kenyon,No Mercy (Dark-Hunter Novels),NOVELS,St. Martin~s Press,0312546564 ,2
Steve Lopez,The Soloist: A Lost Dream an Unlikely Friendship and the Redemptive Power of Music ,NOVELS,Putnam Pub Group,0399155066 ,2
Steven Bochco,Death by Hollywood : A Novel,NOVELS,Random House,1400061563 ,2
Stuart Woods,Hothouse Orchid (Holly Barker),NOVELS,Putnam Pub Group,0399156011 ,2
Susan Elizabeth Phillips ,Call Me Irresistible,NOVELS,NARAYANA,0061351520 ,2
T. Jefferson Parker,L.A. Outlaws,NOVELS,Dutton Books,0525950559 ,2
Taro Gomi,I Lost My Dad,CHILDREN,Kane/Miller Book Pub,1929132042 ,2
Teresa Bateman,The Eyes of the Unicorn,CHILDREN,Holiday House,082341728x ,2
TFH Publications,Adventures With Discus,ANIMALS,TFH Publications,0793800818 ,2
Thomas Palmer,Dream Science,NOVELS,Ticknor & Fields,0899198589 ,2
Tom Birdseye,Attack of the Mutant Underwear,CHILDREN,Holiday House,0823416895 ,2
Toni Morrison,Love,NOVELS,Knopf,0375409440 ,2
Tony Johnston,A Kenya Christmas,CHILDREN,Holiday House,0823416232 ,2
Tracie Peterson,The Hope Within (Heirs of Montana),NOVELS,Bethany House,0739451359 ,2
Tracie Peterson,Under the Northern lights(Alaskan Quest two),NOVELS,Bethany House,0764202197 ,2
Trish Marx,I Heal:The Children of Chernobyl in Cuba ,HISTORY,Lerner Publications Company,0822548976 ,2
Trudy Krisher,Fallout ,CHILDREN,Holiday House,0823420353 ,2
Trudy Krisher,Uncommon Faith,CHILDREN,Holiday House,0823417913 ,2
VALERIE WILSON WESLEY,NO HIDING PLACE,NOVELS,G.P. Putman~s Sons,0399143181 ,2
Victoria Hanley,The Seer and the Sword,CHILDREN,Holiday House,0823415325 ,2
VIrginia Schwartz,Messenger,CHILDREN,Holiday House,0823417166 ,2
W.E.B. Griffin,The Hunters (A Presidential Agent Novel),NOVELS,Putnam Publishing Group,0399153799 ,2
Wendy Clemson,Mathworks! Using Math to Win a Grand Prix,CHILDREN,Gareth Stevens,0836842146 ,2
Wendy Winsted,Ferrets in Your Home,ANIMALS,TFH Publications,0866229884 ,2
William Shakespeare,Shakespeare on love,POETRY,New Seasons,0785339892 ,2
